X,Y,Z
12544.413,27293.691,85.025
12999.765,24867.576,147.585
13461.482,21142.43,74.251
14344.521,22225.498,121.371
15074.365,18993.904,105.013
16677.318,21976.182,-35.857
16796.559,26063.139,79.243
7428.489,18927.402,35.753
8860.945,15226.49,-9.306
9117.809,16509.018,164.713
10095.503,15439.501,10.536
10342.275,19234.184,8.125
11483.843,20586.584,146.657
13480.071,21135.453,49.154
15200.377,15754.012,92.702
15498.839,24941.941,61.97
15612.357,20346.969,111.318
16319.971,16345.412,55.518
5139.049,14082.705,98.898
7309.862,16915.059,-37.702
9333.682,20607.703,47.197
9777.711,13702.519,129.955
13355.242,16386.998,106.749
13488.023,21119.531,32.312
14080.694,17602.326,153.183
14668.019,22253.375,42.559
9337.951,20605.426,72.491
9551.267,19139.658,34.122
10698.661,20742.186,55.83
12514.112,16818.928,78.582
13052.357,26723.15,-0.371
13498.605,21135.352,39.254
14085.239,17603.703,228.159
13990.646,26762.984,3.055
14274.773,22468.783,21.843
16059.355,23968.062,14.365
16432.184,27892.736,140.654
16574.375,22004.037,48.186
5653.431,20149.621,49.791
6048.73,18365.674,68.203
7400.476,14742.229,67.389
8459.968,23749.553,-28.442
8572.806,15207.467,96.945
9916.679,21569.068,155.215
11069.497,24555.248,-14.101
13059.459,26709.336,-4.352
13477.194,21139.701,179.971
13850.183,27673.951,-21.472
14001.777,25092.189,-27.68
16152.141,18127.699,-4.46
16289.471,15919.636,55.312
16774.133,25364.705,260.686
5523.292,16404.725,15.256
12628.416,25158.736,245.278
13480.18,21140.018,76.058
14956.646,16953.66,48.845
15204.632,21929.076,14.426
16027.151,23805.15,31.246
4644.979,18862.736,66.149
6224.448,20003.021,-8.974
6666.916,23173.01,112.2
6979.596,22063.848,115.457
7418.113,20919.365,134.025
8029.258,19499.184,-14.011
10879.83,19188.33,167.804
11505.792,20813.74,184.175
11569.05,23130.117,297.088
12020.438,16923.352,32.774
12509.502,25883.26,77.066
12659.642,17706.637,280.246
12815.239,21186.596,96.504
13061.444,26945.523,26.428
13631.126,16351.252,43.496
14680.996,23543.893,61.838
14692.825,24537.004,-5.205
14907.394,25578.387,95.697
15270.264,21924.527,5.272
15804.469,21377.072,-7.944
15942.287,26376.273,4.641
16642.705,27990.484,38.003
16853.014,26112.973,123.062
4330.692,15141.326,73.037
5405.38,17814.564,43.879
6968.922,19491.336,61.559
7203.443,20631.102,21.025
8543.586,18356.639,165.677
9846.38,21632.523,-2.224
9930.198,15819.103,5.87
11525.251,20803.783,3.894
12215.624,25143.582,5.406
12230.647,21990.451,92.905
12631.786,17689.973,49.396
12500.512,25885.232,84.124
12844.897,23023.254,3.181
13061.245,26947.602,36.892
13483.001,21138.863,30.718
14253.762,21864.812,6.096
14573.072,26788.775,101.622
16356.519,27219.021,22.047
16861.527,26112.658,53.674
4335.049,15133.299,111.662
5873.598,16139.828,-5.932
5660.436,20133.252,13.555
5657.139,20931.234,-19.502
6571.319,17128.225,-21.865
6980.479,19460.033,61.357
7378.795,14729.634,42.202
8089.25,19512.031,85.29
9835.536,21604.037,10.955
11971.491,16925.961,-47.274
12540.717,18267.006,53.594
12813.929,23027.113,12.108
14000.742,17415.258,20.137
14917.383,17074.154,137.654
15328.578,19752.826,108.291
15786.147,14901.373,118.877
16363.515,27208.773,76.672
6577.676,17089.062,70.214
6704.831,23472.445,119.962
7014.174,19361.439,38.374
7271.418,16022.463,27.211
8083.026,19510.469,23.967
8480.027,23231.818,46.317
8905.789,15172.859,-19.867
10433.34,19054.934,31.949
10725.811,23244.41,138.542
11379.608,20837.066,72.356
12539.458,18209.766,134.888
12505.616,25871.777,-7.674
13478.857,21126.945,308.253
14700.891,18002.854,11.511
14946.438,17023.088,104.616
16325.58,17370.223,-0.319
16317.405,27194.889,6.465
4200.805,20148.25,-46.828
4502.974,18288.107,12.703
6711.015,23501.842,198.753
7296.741,16047.199,48.549
8004.261,19442.125,8.664
8539.177,14151.197,50.876
8484.549,23634.887,9.279
9458.951,17060.145,-37.162
9476.248,20277.244,-4.795
13980.374,26861.736,91.117
14876.674,17728.754,47.541
15981.691,23754.934,140.257
16628.49,21943.545,319.968
5589.238,19995.877,50.632
6703.104,18146.441,-2.309
7128.721,20617.652,154.309
7342.909,14720.916,9.593
7207.439,16974.951,46.036
8593.198,23683.328,38.629
9603.981,22451.443,-16.561
11036.521,24647.998,42.291
11919.66,16970.561,6.246
12487.635,23583.658,-29.637
12545.971,25771.02,-12.187
15122.613,17731.293,111.715
15639.262,16871.125,25.682
15936.496,26462.02,-4.121
16388.07,27209.658,53.201
16723.531,15689.968,77.798
3412.89,27438.312,55.789
6638.777,17030.369,41.26
6577.587,20709.039,87.355
8730.061,22664.492,49.892
9245.944,20191.041,0.766
9210.788,16402.398,264.293
9761.436,25738.123,32.951
14453.874,23107.639,-12.721
14387.915,27037.68,16.704
16256.027,17347.568,207.543
16555.977,21928.57,83.971
7461.684,14752.084,76.288
8949.392,15269.631,128.65
9623.346,16726,33.437
9635.839,22444.457,15.578
9753.726,25730.051,77.322
11375.656,20714.162,192.468
14942.959,23306.838,-7.057
14966.059,25554.789,30.477
15016.895,18984.312,13.804
15684.653,16873.291,28.866
15994.082,26459.963,99.416
4461.576,18264.361,12.662
6400.154,22067.014,47.794
6708.527,23461.803,31.765
7105.585,19428.336,28.309
9193.455,20069.887,83.054
10880.457,16382.446,-18.1
11355.402,17177.346,133.691
12289.667,19414.266,85.989
13026.619,24769.605,55.299
14087.511,17615.49,-22.486
14834.7,17729.461,-15.784
15085.818,20951.219,-25.619
5757.806,20854.158,-38.909
7721.977,16623.002,110.911
8720.516,22593.178,7.128
11187.494,17813.037,67.79
12357.496,18188.324,-30.815
13059.387,23279.225,-19.695
13575.451,16540.1,134.102
14205.394,24275.375,134.391
14938.124,25543.965,51.97
14942.038,16959.227,15.891
15754.279,21386.113,-1.687
15746.949,16839.061,-0.206
16559.908,15924.302,101.914
16650.838,21942.555,64.439
16850.934,26117.098,23.519
5484.353,20310.914,32.563
6225.598,22186.684,147.823
7094.097,13742.761,99.332
7310.038,16016.679,-36.354
10704.093,20721.822,24.471
13069.91,23434.775,-10.597
13755.564,20128.49,19.642
14306.859,22494.645,24.558
14928.663,25545.754,26.066
15088.643,17765.887,106.824
5039.755,17658.754,-9.201
6109.439,20458.42,7.387
7093.937,13733.052,112.704
8551.575,23661.592,-22.614
8834.997,14698.832,98.707
10568.419,18094.502,64.583
10691.873,20719.742,142.572
11561.727,24865.148,87.748
12744.887,17807.848,34.154
13446.657,16362.676,118.525
14108.96,20378.793,87.78
6807.608,15826.842,43.657
7461.944,18230.164,-13.425
8536.606,23687.391,13.782
9692.834,22323.443,23.338
10572.88,18097.223,508.66
12067.483,24783.305,22.242
14529.214,27065.285,158.647
15103.471,18946.623,131.502
15195.357,25509.537,28.897
15597.421,21136.818,-15.449
5893.033,16163.376,71.414
7030.741,13633.759,100.805
7656.677,16246.95,41.744
8362.686,16863.494,101.266
9089.901,16440.59,148.134
10861.74,19831.01,34.865
11519.553,17376.754,233.576
14042.241,19478.008,-36.48
16318.259,16376.024,0.786
6866.41,15632.276,98.016
8379.166,23589.113,21.532
9458.77,17863.807,157.87
11210.168,17805.941,71.113
11247.71,20760.004,206.766
11911.19,16880.109,45.427
12153.409,19278.215,-8.558
12093.65,17496.119,5.104
13261.538,21774.412,41.205
14729.344,22364.84,-47.344
15737.063,21365.504,114.527
16297.532,27242.385,184.298
16773.963,26031.924,-16.248
16623.891,27995.059,100.119
5511.178,20078.133,30.71
6411.198,19153.033,18.161
8223.049,21586.498,12.741
8915.618,15763.491,154.466
10713.444,20721.584,190.817
12155.139,21937.322,142.924
12896.719,17742.465,115.628
13609.053,16386.539,-7.451
14074.452,22432.84,-22.61
14025.959,24999.717,113.208
14924.942,23398.223,0.691
16315.268,27250.398,152.597
4503.012,18388.242,40.952
7013.535,14498.074,3.536
10125.899,16540.787,109.47
10258.221,13796.146,44.397
10244.072,24461.678,116.672
10719.166,20714.369,174.363
11086.176,24438.406,-48.773
11207.007,18860.371,488.64
11430.632,20812.301,294.444
